,train_start,train_end,test_end,params,train_return,test_return
40,2013-09-14 22:15:00,2013-12-13 22:15:00,2014-01-12 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.08506631940985199,-1.7500000000003624e-05
41,2013-10-14 22:15:00,2014-01-12 22:15:00,2014-02-11 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.04697871660690556,-0.0005625000000000213
42,2013-11-13 22:15:00,2014-02-11 22:15:00,2014-03-13 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.047048555682202675,-0.000727499999999992
43,2013-12-13 22:15:00,2014-03-13 22:15:00,2014-04-12 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.054727713777222964,-0.0002674999999999761
44,2014-01-12 22:15:00,2014-04-12 22:15:00,2014-05-12 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07511671306292023,-0.000587499999999963
45,2014-02-11 22:15:00,2014-05-12 22:15:00,2014-06-11 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07260423418849937,-0.00024500000000005073
46,2014-03-13 22:15:00,2014-06-11 22:15:00,2014-07-11 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07771540985835645,-0.0003474999999999451
47,2014-04-12 22:15:00,2014-07-11 22:15:00,2014-08-10 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.06991282467114102,0.00016499999999997073
48,2014-05-12 22:15:00,2014-08-10 22:15:00,2014-09-09 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.05434161873011234,-0.00027250000000000885
49,2014-06-11 22:15:00,2014-09-09 22:15:00,2014-10-09 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.03808685418919844,-0.00016249999999995435
50,2014-07-11 22:15:00,2014-10-09 22:15:00,2014-11-08 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.03425398890714759,-0.001375000000000015
51,2014-08-10 22:15:00,2014-11-08 22:15:00,2014-12-08 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07043238668794749,-0.0008500000000000174
52,2014-09-09 22:15:00,2014-12-08 22:15:00,2015-01-07 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07387610696358415,-0.0006125000000000158
53,2014-10-09 22:15:00,2015-01-07 22:15:00,2015-02-06 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07844612865507039,-0.0029525000000000245
54,2014-11-08 22:15:00,2015-02-06 22:15:00,2015-03-08 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07433253693979192,-9.499999999995623e-05
55,2014-12-08 22:15:00,2015-03-08 22:15:00,2015-04-07 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.06520092137179434,-0.000787500000000052
56,2015-01-07 22:15:00,2015-04-07 22:15:00,2015-05-07 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0754487952065317,4.0000000000040004e-05
