,stop_loss,take_profit,ema_filter,atr_max_mult,Total Return,Final Equity,Error
245,100,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
246,100,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
247,100,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
248,100,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
249,100,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
250,100,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
251,100,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
252,100,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
253,100,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
254,100,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
255,100,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
256,25,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
257,25,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
258,25,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
259,25,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
260,25,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
261,25,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
262,25,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
263,25,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
264,25,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
265,25,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
266,25,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
267,25,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
268,25,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
269,25,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
270,25,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
271,25,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
272,25,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
273,25,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
274,25,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
275,25,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
276,25,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
277,25,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
278,25,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
279,25,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
280,25,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
281,25,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
282,25,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
283,25,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
284,25,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
285,25,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
286,25,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
287,25,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
288,25,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
289,25,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
290,25,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
291,25,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
292,25,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
293,25,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
294,25,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
295,25,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
296,25,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
297,25,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
298,25,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
299,25,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
300,25,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
301,25,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
302,25,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
303,25,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
304,25,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
305,25,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
306,25,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
307,25,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
308,25,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
309,25,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
310,25,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
311,25,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
312,25,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
313,25,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
314,25,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
315,25,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
316,25,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
317,25,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
318,25,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
319,25,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
320,50,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
321,50,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
322,50,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
323,50,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
324,50,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
325,50,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
326,50,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
327,50,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
328,50,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
329,50,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
330,50,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
331,50,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
332,50,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
333,50,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
334,50,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
335,50,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
336,50,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
337,50,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
338,50,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
339,50,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
340,50,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
341,50,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
342,50,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
343,50,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
344,50,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
345,50,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
