sl_atr_mult,tp_atr_mult,ema_filter,atr_max_mult,Total Return,Final Equity
3.0,6.0,200,3.0,-0.17536207038902207,82463.79296109779
3.0,8.0,200,3.0,-0.17536207038902207,82463.79296109779
3.0,4.0,200,3.0,-0.17536207038902207,82463.79296109779
3.0,2.0,200,3.0,-0.17536207038902207,82463.79296109779
3.0,2.0,200,2.0,-0.18371389324581522,81628.61067541847
3.0,4.0,200,2.0,-0.18371389324581522,81628.61067541847
3.0,8.0,200,2.0,-0.18371389324581522,81628.61067541847
3.0,6.0,200,2.0,-0.18371389324581522,81628.61067541847
4.0,6.0,200,2.0,-0.18371389324581522,81628.61067541847
4.0,8.0,200,2.0,-0.18371389324581522,81628.61067541847
4.0,4.0,200,2.0,-0.18371389324581522,81628.61067541847
4.0,2.0,200,2.0,-0.18371389324581522,81628.61067541847
2.0,2.0,200,2.0,-0.18371389324581522,81628.61067541847
2.0,4.0,200,2.0,-0.18371389324581522,81628.61067541847
2.0,8.0,200,2.0,-0.18371389324581522,81628.61067541847
2.0,6.0,200,2.0,-0.18371389324581522,81628.61067541847
1.0,6.0,200,2.0,-0.18371389324581522,81628.61067541847
1.0,8.0,200,2.0,-0.18371389324581522,81628.61067541847
1.0,4.0,200,2.0,-0.18371389324581522,81628.61067541847
1.0,2.0,200,2.0,-0.18371389324581522,81628.61067541847
1.0,2.0,20,1.5,-0.3920429708920664,60795.702910793356
1.0,4.0,20,1.5,-0.3920429708920664,60795.702910793356
1.0,8.0,20,1.5,-0.3920429708920664,60795.702910793356
1.0,6.0,20,1.5,-0.3920429708920664,60795.702910793356
2.0,6.0,20,1.5,-0.3920429708920664,60795.702910793356
2.0,8.0,20,1.5,-0.3920429708920664,60795.702910793356
2.0,4.0,20,1.5,-0.3920429708920664,60795.702910793356
2.0,2.0,20,1.5,-0.3920429708920664,60795.702910793356
4.0,2.0,20,1.5,-0.3920429708920664,60795.702910793356
4.0,4.0,20,1.5,-0.3920429708920664,60795.702910793356
4.0,8.0,20,1.5,-0.3920429708920664,60795.702910793356
4.0,6.0,20,1.5,-0.3920429708920664,60795.702910793356
3.0,6.0,20,1.5,-0.3920429708920664,60795.702910793356
3.0,8.0,20,1.5,-0.3920429708920664,60795.702910793356
3.0,4.0,20,1.5,-0.3920429708920664,60795.702910793356
3.0,2.0,20,1.5,-0.3920429708920664,60795.702910793356
3.0,2.0,20,3.0,-0.40804796887535477,59195.20311246452
3.0,4.0,20,3.0,-0.40804796887535477,59195.20311246452
3.0,8.0,20,3.0,-0.40804796887535477,59195.20311246452
3.0,6.0,20,3.0,-0.40804796887535477,59195.20311246452
4.0,6.0,20,3.0,-0.40804796887535477,59195.20311246452
4.0,8.0,20,3.0,-0.40804796887535477,59195.20311246452
